nodes:
A
A1
A2
A3
A4
A5
A6
A7
A8
A9
A10
A11
A12
A13
A14
A15
A16
A17
A18
A19
A20
A21
A22
A23
A24
A25
A26
A27
A28
A29
A30
A31
B

edges:
'A', 'A1', 5

'A1', 'A', 5
'A1', 'A2', 9
'A1', 'A10', 22
'A1', 'A4', 13
'A1', 'A9', 24
'A1', 'A8', 20

'A2', 'A1', 9
'A2', 'A3', 5
'A2', 'A11', 9

'A3', 'A2', 5
'A3', 'A12', 5

'A4', 'A1', 13
'A4', 'A5', 5
'A4', 'A7', 5

'A5', 'A4', 5
'A5', 'A6', 5
'A6', 'A5', 5
'A6', 'A7' 7
'A6', 'A13', 5

'A7', 'A6', 7
'A7', 'A4', 5
'A7', 'A8', 11
'A7', 'A14', 12

'A8', 'A7', 11
'A8', 'A1', 20
'A8', 'A9', 20
'A8', 'A15', 22

'A9', 'A8', 20
'A9', 'A16', 28
'A9', 'A10', 20
'A9', 'A1', 24

'A10', 'A9', 20
'A10', 'A11', 7
'A10', 'A1', 22
'A10', 'A17', 24

'A11', 'A10', 7
'A11', 'A18', 10
'A11', 'A2', 9
'A11', 'A12', 5
'A11', 'A17', 12

'A12', 'A11', 5
'A12', 'A3', 5
'A12', 'A19', 7

'A13', 'A6', 5
'A13', 'A14', 7
'A13', 'A21', 5

'A14', 'A13', 7
'A14', 'A7', 12
'A14', 'A15', 14
'A14', 'A24', 12
'A14', 'A21', 10

'A15', 'A14', 14
'A15', 'A16', 20
'A15', 'A8', 22
'A15', 'A24', 24

'A16', 'A15', 20
'A16', 'A17', 20
'A16', 'A9', 28
'A16', 'A25', 28

'A17', 'A16', 20
'A17', 'A10', 24
'A17', 'A11', 12
'A17', 'A18', 10
'A17', 'A26', 22

'A18', 'A17', 10
'A18', 'A19', 5
'A18', 'A20', 12
'A18', 'A11', 10

'A19', 'A18', 5
'A19', 'A12', 7
'A19', 'A20', 5

'A20', 'A19', 5
'A20', 'A18', 12
'A20', 'A27', 14
'A20', 'A28', 5

'A21', 'A22', 5
'A21', 'A23', 10
'A21', 'A13', 5
'A21', 'A14', 10

'A22', 'A21', 5
'A22', 'A23', 5

'A23', 'A22', 5
'A23', 'A21', 10
'A23', 'A24', 12
'A23', 'A31', 10

'A24', 'A23', 12
'A24', 'A31', 22
'A24', 'A25', 24
'A24', 'A14', 12
'A24', 'A15', 24

'A25', 'A24', 24
'A25', 'A16', 28
'A25', 'A26', 20
'A25', 'A30', 26

'A26', 'A25', 20
'A26', 'A27', 12
'A26', 'A30', 26
'A26', 'A17', 22

'A27', 'A26', 12
'A27', 'A28', 5
'A27', 'A29', 12
'A27', 'A20', 14

'A28', 'A27', 5
'A28', 'A20', 5
'A28', 'A29', 5

'A29', 'A28', 5
'A29', 'A27', 12
'A29', 'A30', 10

'A30', 'A29', 10
'A30', 'A26', 22
'A30', 'A25', 26
'A30', 'A31', 22
'A30', 'B', 5

'A31', 'A30', 22
'A31', 'A24', 22
'A31', 'A23', 10

'B', 'A30', 5
